"recipe_id","faction","surface","style","look_summary","finish","difficulty","time_mode","notes","reference_folder","scheme_tag","primary_colour","variant_group","faction_family"
"AEL_ASU_DETAILS_MIX_01","Asuryani","Details","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Details","Asuryani: craftworld classic (wraithbone armour + teal gems)","Off-White","",""
"AEL_ASU_GEMS_MIX_01","Asuryani","Gems","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Gloss","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Gems","Asuryani: craftworld classic (wraithbone armour + teal gems)","Teal","",""
"AEL_ASU_METALS_MIX_01","Asuryani","Metals","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Satin","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Metals","Asuryani: craftworld classic (wraithbone armour + teal gems)","Steel/Silver","",""
"AEL_ASU_WEAPONS_MIX_01","Asuryani","Weapons","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Weapons","Asuryani: craftworld classic (wraithbone armour + teal gems)","Black/Grey","",""
"AEL_ASU_WRAITHBONE_MIX_01","Asuryani","Wraithbone & Bone","Truth Pass v2","Asuryani craftworld look anchored to an official-style palette; inventory-locked, practical steps.","Matte","Easy","Standard","Truth Pass v2: inventory-locked paints; replace placeholders; keep steps practical.","references/Asuryani/Wraithbone & Bone","Asuryani: craftworld classic (wraithbone armour + teal gems)","Wraithbone/Off-White","",""
"AEL_BASES_MIX_01","Aeldari","Bases","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Bases using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Bases","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_BLUE_GEMS_MIX_01","Aeldari - Blue","Gems & Spirit Stones","Identity Surface (Mixed Build)","High-contrast gem: dark top, bright lower highlight + dot","Gloss accent","Easy","Quick","Identity surface (required)","references/Aeldari - Blue/Gems & Spirit Stones","Blue Scheme","Blue","Aeldari — Blue","Aeldari"
"AEL_CLOTH_MIX_01","Aeldari","Cloth","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Cloth using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Cloth","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_DETAILS_MIX_01","Aeldari","Details","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Details using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Details","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_GEMS_MIX_01","Aeldari","Gems","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Gems using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Gems","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_HAR_ARMOUR_MIX_01","Harlequins","Armour","Truth Pass v2","Harlequins Armour: bold solid panels (red) with clean highlights; patterns handled in Bodysuit Patterns.","Matte","Standard","Standard","","references/Harlequins/Armour","","","",""
"AEL_HAR_BASES_MIX_01","Harlequins","Bases","Truth Pass v2","Harlequins Bases: neutral dusty rubble to keep focus on the costume.","Matte","Standard","Standard","","references/Harlequins/Bases","","","",""
"AEL_HAR_BODYSUITPA_MIX_01","Harlequins","Bodysuit Patterns","Truth Pass v2","Harlequins Bodysuit Patterns: achievable diamonds/checkers with black/white + blue/red accents.","Matte","Standard","Standard","","references/Harlequins/Bodysuit Patterns","","","",""
"AEL_HAR_DETAILS_MIX_01","Harlequins","Details","Truth Pass v2","Harlequins Details: crisp black straps + warm gold accents (kept minimal).","Matte","Standard","Standard","","references/Harlequins/Details","","","",""
"AEL_HAR_GEMS_MIX_01","Harlequins","Gems","Truth Pass v2","Harlequins Gems: saturated red gems with gloss finish.","Matte","Standard","Standard","","references/Harlequins/Gems","","","",""
"AEL_HAR_WEAPONS_MIX_01","Harlequins","Weapons","Truth Pass v2","Harlequins Weapons: clean steel + black casings (fast, readable).","Matte","Standard","Standard","","references/Harlequins/Weapons","","","",""
"AEL_METALS_MIX_01","Aeldari","Metals","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Metals using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Metals","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_PURPLE_GEMS_MIX_01","Aeldari - Purple","Gems & Spirit Stones","Identity Surface (Mixed Build)","High-contrast gem: dark top, bright lower highlight + dot","Gloss accent","Easy","Quick","Identity surface (required)","references/Aeldari - Purple/Gems & Spirit Stones","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEL_WEAPONS_MIX_01","Aeldari","Weapons","Truth Pass v2","Ulthwé baseline Aeldari. Surface recipe for Weapons using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Aeldari/Weapons","Ulthwé baseline (black armour + bone accents)","","",""
"AEL_WRAITHBONE_MIX_01","Aeldari","Wraithbone & Bone","Identity Surface (Mixed Build)","Wraithbone: creamy bone with soft recess shading and clean highlights","Matte","Easy","Standard","Aeldari material identity surface","references/Aeldari/Wraithbone & Bone","Material","Bone","Aeldari — Shared","Aeldari"
"AEL_YNN_ARMOUR_MIX_01","Ynnari","Armour","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Armour","","","",""
"AEL_YNN_BASES_MIX_01","Ynnari","Bases","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Bases","","","",""
"AEL_YNN_CLOTH_MIX_01","Ynnari","Cloth","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Cloth","","","",""
"AEL_YNN_DETAILS_MIX_01","Ynnari","Details","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Details","","","",""
"AEL_YNN_GEMS_MIX_01","Ynnari","Gems","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Gems","","","",""
"AEL_YNN_METALS_MIX_01","Ynnari","Metals","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Metals","","","",""
"AEL_YNN_WEAPONS_MIX_01","Ynnari","Weapons","Truth Pass v2","Ynnari (Truth Pass v2): bone/ivory armour + deep red cloth + dark weapons + elegant metals + bright spiritstones. Anchored in targets.md.","Matte","Easy","Standard","","references/Ynnari/Weapons","","","",""
"AEP_ARMOUR_MIX_01","Aeldari - Purple","Armour","Box Art Target (Mixed Build)","Faction armour: box-art aligned target","Matte/Satin","Standard","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Armour","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_BASES_MIX_01","Aeldari - Purple","Bases","Box Art Target (Mixed Build)","Bases: neutral base pack for the faction","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Bases","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_CLOTH_MIX_01","Aeldari - Purple","Cloth & Robes","Box Art Target (Mixed Build)","Cloth/robes: readable contrast, clean folds","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Cloth & Robes","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_DETAILS_MIX_01","Aeldari - Purple","Details","Box Art Target (Mixed Build)","Details: parchment/seals/bone/readability","Matte","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Details","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_LEATHER_MIX_01","Aeldari - Purple","Leather","Box Art Target (Mixed Build)","Leather: tidy edges, controlled shade","Matte","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Leather","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_LENSES_MIX_01","Aeldari - Purple","Lenses & Gems","Box Art Target (Mixed Build)","Lenses/gems: high contrast, dot highlight","Gloss accent","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Lenses & Gems","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_METALS_MIX_01","Aeldari - Purple","Metals","Box Art Target (Mixed Build)","Metals/trim: clean shading + bright points","Satin/Metallic","Easy","Standard","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Metals","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AEP_WEAPONS_MIX_01","Aeldari - Purple","Weapons","Box Art Target (Mixed Build)","Weapons/casings: clean, subtle edge highlights","Matte","Easy","Quick","Auto-filled from inventory_export.csv; source links to be added in targets.md","references/Aeldari - Purple/Weapons","Purple Scheme","Purple","Aeldari — Purple","Aeldari"
"AM_BASES_MIX_01","Adeptus Mechanicus","Bases","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Bases using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Bases","Mars Red (official/box-art compass)","Neutral","",""
"AM_DETAILS_MIX_01","Adeptus Mechanicus","Details","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Details using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Details","Mars Red (official/box-art compass)","Bone","",""
"AM_LEATHER_MIX_01","Adeptus Mechanicus","Leather","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Leather using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Leather","Mars Red (official/box-art compass)","Brown","",""
"AM_LENSESGLOW_MIX_01","Adeptus Mechanicus","Lenses & Glow","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Lenses & Glow using owned paints.","Gloss","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Lenses & Glow","Mars Red (official/box-art compass)","Glow","",""
"AM_METALS_MIX_01","Adeptus Mechanicus","Metals","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Metals using owned paints.","Satin","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Metals","Mars Red (official/box-art compass)","Steel","",""
"AM_ROBES_MIX_01","Adeptus Mechanicus","Robes","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Robes using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Robes","Mars Red (official/box-art compass)","Red","",""
"AM_WEAPONS_MIX_01","Adeptus Mechanicus","Weapons","Truth Pass v2","Official/box-art aligned AdMech (Mars). Surface recipe for Weapons using owned paints.","Matte","Standard","Standard","Truth Pass v2: scheme-aligned, inventory-locked paints. Generic fallback only.","references/Adeptus Mechanicus/Weapons","Mars Red (official/box-art compass)","Black","",""
"AS_ARMOUR_MIX_01","Adepta Sororitas","Armour","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Armour using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Armour","Order of Our Martyred Lady","Black","",""
"AS_BASES_MIX_01","Adepta Sororitas","Bases","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Bases using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Bases","Order of Our Martyred Lady","Neutral","",""
"AS_CLOTHROBES_MIX_01","Adepta Sororitas","Cloth & Robes","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Cloth & Robes using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Cloth & Robes","Order of Our Martyred Lady","Red","",""
"AS_DETAILS_MIX_01","Adepta Sororitas","Details","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Details using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Details","Order of Our Martyred Lady","Bone","",""
"AS_LEATHER_MIX_01","Adepta Sororitas","Leather","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Leather using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Leather","Order of Our Martyred Lady","Brown","",""
"AS_LENSESGEMS_MIX_01","Adepta Sororitas","Lenses & Gems","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Lenses & Gems using owned paints.","Gloss","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Lenses & Gems","Order of Our Martyred Lady","Green","",""
"AS_METALS_MIX_01","Adepta Sororitas","Metals","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Metals using owned paints.","Satin","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Metals","Order of Our Martyred Lady","Metal","",""
"AS_WEAPONS_MIX_01","Adepta Sororitas","Weapons","Truth Pass v2","Official/box-art aligned: Order of Our Martyred Lady. Surface recipe for Weapons using owned paints.","Matte","Standard","Standard","Truth Pass v2: replace placeholders with scheme-aligned, inventory-locked paints. Generic allowed as fallback only.","references/Adepta Sororitas/Weapons","Order of Our Martyred Lady","Black","",""
"BA_ARMOUR_BOX_01","Blood Angels","Armour","Box Art Target","Rich red armour; clean highlights; deep recesses","Matte/Satin","Standard","Standard","","references/Blood Angels/Armour","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_ARMOUR_MIX_01","Blood Angels","Armour","Box Art Target (Mixed Build)","Rich red armour; clean highlights; deep recesses","Matte/Satin","Standard","Standard","Auto-filled from your inventory_export.csv","references/Blood Angels/Armour","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_BASES_URBAN_01","Blood Angels","Bases","Box Art Target","Urban rubble base example pack (neutral, clean)","Matte","Easy","Standard","","references/Blood Angels/Bases","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_BASES_URBAN_MIX_01","Blood Angels","Bases","Box Art Target (Mixed Build)","Urban rubble base example pack (neutral, clean)","Matte","Easy","Standard","Auto-filled from your inventory_export.csv","references/Blood Angels/Bases","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_CLOTH_BOX_01","Blood Angels","Cloth & Robes","Box Art Target","Cream/black cloth; neat folds; readable contrast","Matte","Easy","Standard","","references/Blood Angels/Cloth & Robes","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_CLOTH_MIX_01","Blood Angels","Cloth & Robes","Box Art Target (Mixed Build)","Cream/black cloth; neat folds; readable contrast","Matte","Easy","Standard","Auto-filled from your inventory_export.csv","references/Blood Angels/Cloth & Robes","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_DC_BASES_MIX_01","Blood Angels","Bases","Identity Surface (Mixed Build)","Death Company bases (neutral urban)","Matte","Easy","Quick","","references/Blood Angels/Bases","Death Company","Grey","Blood Angels — Death Company",""
"BA_DC_BLACK_ARMOUR_MIX_01","Blood Angels","Armour (Black) - Death Company","Identity Surface (Mixed Build)","Death Company black armour: clean black, crisp grey edges","Matte","Easy","Quick","DC core identity surface","references/Blood Angels/Armour (Black) - Death Company","Death Company","Black","Blood Angels — Death Company","Blood Angels"
"BA_DC_CLOTH_MIX_01","Blood Angels","Cloth & Robes","Identity Surface (Mixed Build)","Death Company cloth (black + bone accents)","Matte","Easy","Quick","","references/Blood Angels/Cloth & Robes","Death Company","Black","Blood Angels — Death Company",""
"BA_DC_DETAILS_MIX_01","Blood Angels","Details","Identity Surface (Mixed Build)","Parchment/bone + optional red markings","Matte","Easy","Quick","","references/Blood Angels/Details","Death Company","Bone","Blood Angels — Death Company",""
"BA_DC_LEATHER_MIX_01","Blood Angels","Leather","Identity Surface (Mixed Build)","Dark leather with controlled shade","Matte","Easy","Quick","","references/Blood Angels/Leather","Death Company","Brown","Blood Angels — Death Company",""
"BA_DC_LENSES_MIX_01","Blood Angels","Lenses & Gems","Identity Surface (Mixed Build)","Red lenses with white dot + optional gloss","Matte","Easy","Quick","","references/Blood Angels/Lenses & Gems","Death Company","Red","Blood Angels — Death Company",""
"BA_DC_MARKINGS_MIX_01","Blood Angels","Markings (Death Company X)","Identity Surface (Mixed Build)","Death Company red X markings: crisp, opaque, clean edges","Matte","Easy","Quick","DC identity surface","references/Blood Angels/Markings (Death Company X)","Death Company","Red","Blood Angels — Death Company","Blood Angels"
"BA_DC_METALS_MIX_01","Blood Angels","Metals","Identity Surface (Mixed Build)","Steel/silver with black wash + optional gold","Matte","Easy","Quick","","references/Blood Angels/Metals","Death Company","Silver","Blood Angels — Death Company",""
"BA_DC_WEAPONS_MIX_01","Blood Angels","Weapons","Identity Surface (Mixed Build)","Black weapons casing with crisp edges","Matte","Easy","Quick","","references/Blood Angels/Weapons","Death Company","Black","Blood Angels — Death Company",""
"BA_DETAILS_BOX_01","Blood Angels","Details","Box Art Target","Parchment + seals + bone; crisp and readable","Matte","Easy","Standard","","references/Blood Angels/Details","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_DETAILS_MIX_01","Blood Angels","Details","Box Art Target (Mixed Build)","Parchment + seals + bone; crisp and readable","Matte","Easy","Standard","Auto-filled from your inventory_export.csv","references/Blood Angels/Details","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_LEATHER_BOX_01","Blood Angels","Leather","Box Art Target","Brown leather straps/pouches; tidy edges","Matte","Easy","Quick","","references/Blood Angels/Leather","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_LEATHER_MIX_01","Blood Angels","Leather","Box Art Target (Mixed Build)","Brown leather straps/pouches; tidy edges","Matte","Easy","Quick","Auto-filled from your inventory_export.csv","references/Blood Angels/Leather","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_LENSES_BOX_01","Blood Angels","Lenses & Gems","Box Art Target","Green lenses; bright dot highlight","Gloss accent","Easy","Quick","","references/Blood Angels/Lenses & Gems","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_LENSES_MIX_01","Blood Angels","Lenses & Gems","Box Art Target (Mixed Build)","Green lenses; bright dot highlight","Gloss accent","Easy","Quick","Auto-filled from your inventory_export.csv","references/Blood Angels/Lenses & Gems","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_METALS_BOX_01","Blood Angels","Metals","Box Art Target","Gold trims + steel weapons; bright points","Satin/Metallic","Easy","Standard","","references/Blood Angels/Metals","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_METALS_MIX_01","Blood Angels","Metals","Box Art Target (Mixed Build)","Gold trims + steel weapons; bright points","Satin/Metallic","Easy","Standard","Auto-filled from your inventory_export.csv","references/Blood Angels/Metals","Mixed Build","Red","Blood Angels","Blood Angels"
"BA_RED_ARMOUR_MIX_01","Blood Angels","Armour (Red)","Identity Surface (Mixed Build)","Blood Angels red: deep shade, rich midtone, bright edges","Matte/Satin","Standard","Standard","Classic BA identity surface","references/Blood Angels/Armour (Red)","Box Art Target","Red","Blood Angels — Classic","Blood Angels"
"BA_WEAPONS_BOX_01","Blood Angels","Weapons","Box Art Target","Black casings; subtle grey edges; clean finish","Matte","Easy","Quick","","references/Blood Angels/Weapons","Box Art Target","Red","Blood Angels","Blood Angels"
"BA_WEAPONS_MIX_01","Blood Angels","Weapons","Box Art Target (Mixed Build)","Black casings; subtle grey edges; clean finish","Matte","Easy","Quick","Auto-filled from your inventory_export.csv","references/Blood Angels/Weapons","Mixed Build","Red","Blood Angels","Blood Angels"
