"recipe_id","step_no","stage","action","paint","brand","mix","method_notes","confidence","source_tier","source_link"
"AEL_ASU_WEAPONS_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_WEAPONS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_WEAPONS_MIX_01","4","Highlight","Highlight","Graphite","AK Interactive","AK Interactive Graphite + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_ASU_WRAITHBONE_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","High","C",""
"AEL_ASU_WRAITHBONE_MIX_01","2","Base","Basecoat","Wraithbone","Citadel","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_ASU_WRAITHBONE_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_ASU_WRAITHBONE_MIX_01","4","Highlight","Highlight","White","AK Interactive","AK Interactive White + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_BASES_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_BASES_MIX_01","2","Base","Basecoat","Silver Grey","AK Interactive","","Basecoat smoothly (2 thin coats).","Medium","A",""
"AEL_BASES_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses; keep flats clean.","Medium","A",""
"AEL_BASES_MIX_01","4","Highlight","Highlight","Sand Yellow","AK Interactive","","Highlight edges/raised detail.","Medium","A",""
"AEL_BLUE_GEMS_MIX_01","1","Base","Basecoat","Transparent Black","Pro Acryl","","Gem base","High","B",""
"AEL_BLUE_GEMS_MIX_01","2","Layer","Crescent","Purple","AK Interactive","","Paint lower half","High","B",""
"AEL_BLUE_GEMS_MIX_01","3","Highlight","Crescent","Fluorescent Magenta","Vallejo","","Smaller crescent at bottom","High","B",""
"AEL_BLUE_GEMS_MIX_01","4","Edge","Dot highlight","Bold Titanium White","Pro Acryl","","Tiny dot opposite bright crescent","High","B",""
"AEL_BLUE_GEMS_MIX_01","5","Optional","Finish","Polyurethane Gloss Varnish","Vallejo","","Optional: gem gloss pop","High","B",""
"AEL_CLOTH_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_CLOTH_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat smoothly (2 thin coats).","Medium","A",""
"AEL_CLOTH_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Shade recesses; keep flats clean.","Medium","A",""
"AEL_CLOTH_MIX_01","4","Highlight","Highlight","Blue Grey Pale","Vallejo","","Highlight edges/raised detail.","Medium","A",""
"AEL_DETAILS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_DETAILS_MIX_01","2","Base","Basecoat","Wraithbone","Citadel","","Basecoat smoothly (2 thin coats).","Medium","A",""
"AEL_DETAILS_MIX_01","3","Shade","Shade","Seraphim Sepia","Citadel","","Shade recesses; keep flats clean.","Medium","A",""
"AEL_DETAILS_MIX_01","4","Highlight","Highlight","White","AK Interactive","","Highlight edges/raised detail.","Medium","A",""
"AEL_GEMS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_GEMS_MIX_01","2","Base","Basecoat","Matt Red","AK Interactive","","Basecoat gems red.","Medium","A",""
"AEL_GEMS_MIX_01","3","Shade","Shade","Carroburg Crimson","Citadel","","Shade the lower half; keep the upper area brighter.","Medium","A",""
"AEL_GEMS_MIX_01","4","Highlight","Highlight","Troll Slayer Orange","Citadel","","Highlight the upper edge + add a tiny specular dot if desired.","Medium","A",""
"AEL_HAR_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong contrast and clean panel edges.","High","B",""
"AEL_HAR_ARMOUR_MIX_01","2","Base","Basecoat","Mephiston Red","Citadel","Armour","Basecoat armour plates Mephiston Red (2 thin coats).","High","B",""
"AEL_HAR_ARMOUR_MIX_01","3","Shade","Shade","Carroburg Crimson","Citadel","Armour","Shade recesses with Carroburg Crimson (controlled).","Medium","B",""
"AEL_HAR_ARMOUR_MIX_01","4","Highlight","Highlight","Evil Sunz Scarlet","Citadel","Armour","Edge highlight Evil Sunz Scarlet; optional final spot highlight Wild Rider Red on corners.","Medium","B",""
"AEL_HAR_BASES_MIX_01","1","Build","Texture","Texture Paste (any)","Generic","","Apply texture paste/sand; let dry fully.","High","B",""
"AEL_HAR_BASES_MIX_01","2","Base","Basecoat","Zandri Dust","Citadel","Bases","Basecoat the whole base Zandri Dust.","High","B",""
"AEL_HAR_BASES_MIX_01","3","Shade","Shade","Agrax Earthshade","Citadel","Bases","Wash/ shade for depth; wick pooling.","High","B",""
"AEL_HAR_BASES_MIX_01","4","Drybrush","Drybrush","Administratum Grey","Citadel","Bases","Drybrush lightly for texture; optional final dusting with Screaming Skull if you use it later.","Medium","B",""
"AEL_HAR_BODYSUITPA_MIX_01","1","Base","Basecoat","Bold Titanium White","Pro Acryl","Bodysuit","Basecoat bodysuit areas white (thin layers for smoothness).","High","B",""
"AEL_HAR_BODYSUITPA_MIX_01","2","Layout","Pattern","Thousand Sons Blue","Citadel","Diamonds","Lightly map diamonds with pencil/masking tape; fill alternating diamonds Thousand Sons Blue.","Medium","B",""
"AEL_HAR_BODYSUITPA_MIX_01","3","Pattern","Pattern","Mephiston Red","Citadel","Diamonds","Fill remaining diamonds Mephiston Red; tidy edges back with Bold Titanium White if needed.","Medium","B",""
"AEL_HAR_BODYSUITPA_MIX_01","4","Clean","Line/Edge","Transparent Black","Pro Acryl","Pattern","Thin-line diamond borders with Transparent Black; optional highlights: Temple Guard Blue on blue diamonds and Evil Sunz Scarlet on red diamonds.","Medium","B",""
"AEL_HAR_DETAILS_MIX_01","1","Base","Basecoat","Rubber Black","AK Interactive","Straps","Basecoat straps/soft details Rubber Black.","High","B",""
"AEL_HAR_DETAILS_MIX_01","2","Base","Basecoat","Balthasar Gold","Citadel Classic","Gold","Basecoat small trim/details Balthasar Gold.","High","B",""
"AEL_HAR_DETAILS_MIX_01","3","Shade","Shade","Agrax Earthshade","Citadel","Gold","Shade gold details; keep it controlled.","High","B",""
"AEL_HAR_DETAILS_MIX_01","4","Highlight","Highlight","Liberator Gold","Citadel","Gold","Highlight gold edges Liberator Gold; optional tiny dot Stormhost Silver for sparkle.","Medium","B",""
"AEL_HAR_GEMS_MIX_01","1","Base","Basecoat","Khorne Red","Citadel","Gems","Basecoat gems Khorne Red.","High","B",""
"AEL_HAR_GEMS_MIX_01","2","Layer","Layer","Mephiston Red","Citadel","Gems","Layer Mephiston Red leaving a thin dark rim.","High","B",""
"AEL_HAR_GEMS_MIX_01","3","Highlight","Highlight","Evil Sunz Scarlet","Citadel","Gems","Highlight upper curve Evil Sunz Scarlet; optional tiny hotspot dot Pink Horror.","Medium","B",""
"AEL_HAR_GEMS_MIX_01","4","Finish","Varnish","Polyurethane Gloss Varnish","Vallejo","Gems","Gloss varnish gems once fully dry for a glassy look.","High","B",""
"AEL_HAR_WEAPONS_MIX_01","1","Base","Basecoat","Rubber Black","AK Interactive","Casing","Basecoat weapon casings Rubber Black.","High","B",""
"AEL_HAR_WEAPONS_MIX_01","2","Base","Basecoat","Iron Hands Steel","Citadel","Metal","Basecoat metal parts Iron Hands Steel.","High","B",""
"AEL_HAR_WEAPONS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","Metal","Shade metal parts with Nuln Oil; wick pooling.","High","B",""
"AEL_HAR_WEAPONS_MIX_01","4","Highlight","Highlight","Runefang Steel","Citadel","Metal","Edge highlight metal Runefang Steel; optional final spot Stormhost Silver.","Medium","B",""
"AEL_LENSESGLOW_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for contrast.","High","B",""
"AEL_LENSESGLOW_MIX_01","2","Base","Basecoat","Thousand Sons Blue","Citadel","Lenses","Basecoat lenses/glow sources Thousand Sons Blue (thin).","High","B",""
"AEL_LENSESGLOW_MIX_01","3","Layer","Layer","Temple Guard Blue","Citadel","Lenses","Layer Temple Guard Blue leaving darker rim. Keep it neat.","Medium","B",""
"AEL_LENSESGLOW_MIX_01","4","Highlight","Highlight","Blue Horror","Citadel","Lenses","Tiny hotspot highlight Blue Horror; optional gloss varnish on lenses after everything is dry.","Medium","B",""
"AEL_LENSESGLOW_MIX_03","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_LENSESGLOW_MIX_03","2","Base","Basecoat","Greenish White","AK Interactive","","Basecoat lenses/glow with a saturated green/teal.","Medium","A",""
"AEL_LENSESGLOW_MIX_03","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade edges/recess; preserve a brighter center for glow.","Medium","A",""
"AEL_LENSESGLOW_MIX_03","4","Highlight","Highlight","White","AK Interactive","","Final highlight + tiny specular dot if desired.","Medium","A",""
"AEL_LENSESGLOW_MIX_04","1","Prime","Prime","Rubber Black","AK Interactive","","Prime black for strong contrast and easy shading.","Low","C",""
"AEL_LENSESGLOW_MIX_04","2","Base","Basecoat","Grey-Blue","AK Interactive","","Basecoat evenly; thin coats, preserve detail.","Low","C",""
"AEL_LENSESGLOW_MIX_04","3","Shade","Shade","Coelia Greenshade","Citadel","","Shade recesses (pin wash where possible); keep flats clean.","Low","C",""
"AEL_LENSESGLOW_MIX_04","4","Highlight","Highlight","White","AK Interactive","AK Interactive White + tiny amount of White for final edge","Edge highlight + final accents; keep lines crisp.","Low","C",""
"AEL_METALS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_METALS_MIX_01","2","Base","Basecoat","Silver Grey","AK Interactive","","Basecoat metal machinery and weapon metals.","Medium","A",""
"AEL_METALS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Pin wash into recesses; wipe excess off flats.","Medium","A",""
"AEL_METALS_MIX_01","4","Highlight","Highlight","Silver Grey","AK Interactive","AK Interactive Silver Grey + tiny amount of Titanium White (edge highlight mix)","Highlight edges and contact points with a brighter metal.","Medium","A",""
"AEL_PURPLE_GEMS_MIX_01","1","Base","Basecoat","Transparent Black","Pro Acryl","","Gem base","High","B",""
"AEL_PURPLE_GEMS_MIX_01","2","Layer","Crescent","Purple","AK Interactive","","Paint lower half","High","B",""
"AEL_PURPLE_GEMS_MIX_01","3","Highlight","Crescent","Fluorescent Magenta","Vallejo","","Smaller crescent at bottom","High","B",""
"AEL_PURPLE_GEMS_MIX_01","4","Edge","Dot highlight","Bold Titanium White","Pro Acryl","","Tiny dot opposite bright crescent","High","B",""
"AEL_PURPLE_GEMS_MIX_01","5","Optional","Finish","Polyurethane Gloss Varnish","Vallejo","","Optional: gem gloss pop","High","B",""
"AEL_WEAPONS_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Prime for strong shadows and clean coverage (black prime recommended for Ulthwé-style Aeldari).","Medium","A",""
"AEL_WEAPONS_MIX_01","2","Base","Basecoat","Rubber Black","AK Interactive","","Basecoat smoothly (2 thin coats).","Medium","A",""
"AEL_WEAPONS_MIX_01","3","Shade","Shade","Nuln Oil","Citadel","","Shade recesses; keep flats clean.","Medium","A",""
"AEL_WEAPONS_MIX_01","4","Highlight","Highlight","Graphite","AK Interactive","","Highlight edges/raised detail.","Medium","A",""
"AEL_WRAITHBONE_MIX_01","1","Prime","Prime","Anthracite Grey","AK Interactive","","Bone likes light primer","High","B",""
"AEL_WRAITHBONE_MIX_01","2","Base","Basecoat","Sand Yellow","AK Interactive","","Smooth bone base","High","B",""
"AEL_WRAITHBONE_MIX_01","3","Shade","Recess shade","Archaic Sepia Wash","Two Thin Coats","","Recess-only where possible","High","B",""
"AEL_WRAITHBONE_MIX_01","4","Highlight","Highlight","Bold Titanium White","Pro Acryl","","Raised edges","High","B",""
"AEP_ARMOUR_MIX_01","1","Prime","Prime","Rubber Black","AK Interactive","","Black primer deepens recesses","High","C",""
"AEP_ARMOUR_MIX_01","2","Prime","Zenithal","White","AK Interactive","","Optional: dust from above to guide highlights","Medium","C",""
